MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,706,None,0,150,856,GasA,Ex,Y,,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,None,None,Other,None,2,548,None,None,Y,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,208500.0
20,RL,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,CBlock,None,None,None,None,978,None,0,284,1262,GasA,Ex,Y,,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,None,None,Other,None,2,460,None,None,Y,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,181500.0
60,RL,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,486,None,0,434,920,GasA,Ex,Y,,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,None,None,Other,None,2,608,None,None,Y,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,223500.0
70,RL,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,216,None,0,540,756,GasA,Gd,Y,,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,None,None,Other,None,3,642,None,None,Y,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,140000.0
60,RL,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,655,None,0,490,1145,GasA,Ex,Y,,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,None,None,Other,None,3,836,None,None,Y,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,250000.0
50,RL,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,TA,Wood,None,None,None,None,732,None,0,64,796,GasA,Ex,Y,,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,None,None,Other,None,2,480,None,None,Y,40,30,0,320,0,0,None,None,None,700,10,2009,WD,Normal,143000.0
20,RL,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,1369,None,0,317,1686,GasA,Ex,Y,,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,None,None,Other,None,2,636,None,None,Y,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,307000.0
60,RL,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Other,SBrkr,TA,TA,CBlock,None,None,None,None,859,None,32,216,1107,GasA,Ex,Y,,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,None,None,Other,None,2,484,None,None,Y,235,204,228,0,0,0,None,None,None,350,11,2009,WD,Normal,200000.0
50,RM,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,0,None,0,952,952,GasA,Gd,Y,,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,None,None,Other,None,2,468,None,None,Y,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,129900.0
190,RL,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,851,None,0,140,991,GasA,Ex,Y,,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,None,None,Other,None,1,205,None,None,Y,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,118000.0
